Артикул	Наименование (Русский)	Старая цена	Цена	На складе	Скрытый	Каталог куда загружать	Каталог куда загружать-2	Продано	Можно купить	Гарантия
45077	Кабель VGA 1.0m , VGA to VGA, 1.0 м	0	0	0	1	1804		0	0	12	
45468		MB GIGABYTE B450M H sAM4	0	0	0	0	483		0	1	12	
45337		USB-накопичувач 64GB SanDisk Ultra Dual USB 3.0/Type-C	0	0	0	0	1607		0	0	12	
42982		Кабель USB 2.0 AM/BM 0.8m Atcom (6152) з феритом, 0.8м	0	0	0	0	1738		0	0	12	
45474		Кабель мультимедійний Jack 3.5mm female 4-pin to 2x Jack 3.5mm male 0.2m Cablexpert (CCA-418)	0	0	0	0			0	1	12	
43843		Кабель мультимедійний Mini DisplayPort to VGA Cablexpert (A-mDPM-VGAF-02)	0	0	0	0			0	0	12	
43143		Картридж HP DJ No.655 Yellow DJ4615/4625/3525 (CZ112AE)	0	0	0	0	522		0	0	12	
45465		Килимок для мишки A4tech Bloody B-081S чорний	0	0	0	0	1809		0	1	12	
45409		Кишеня зовнішня K104A black Maiwo	0	0	0	0	1778		0	0	12	
45469		Корпус Vinga CS110B Miditower, ATX, Mini - ITX, Micro - ATX, з блоком живлення, 400 Вт, 2 x USB 2.0,	0	0	0	0	482		0	1	12	
45470		Кулер до процесора Vinga CL3011	0	0	0	0	1012		0	1	12	
45467		Модуль пам'яті для комп'ютера DDR4 8GB 3200 MHz Lexar (LD4AU008G-R3200GSST) DDR4, 8 ГБ, 1, 3200 MHz,	0	0	0	0	476		0	1	12	
45456		Накопичувач SSD 2.5 240GB Burst Elite Patriot (PBE240GS25SSDR)	0	0	0	0	518		0	1	12	
43181		Принтер А4 Epson L312 Фабрика друку	0	0	0	0	528		0	0	12	
45472		Процесор AMD Athlon ™ 3000G (YD3000C6M2OFH)	0	0	0	0	484		0	1	12	
45422		Процесор INTEL Core™ i3 10105F	0	0	0	0	484		0	0	12	
43798		Процесор INTEL Core™ i5 6600 (BX80662I56600) s1151	0	0	0	0	484		0	0	12	
45420		Ролик для преса EcoFit MD1400B 	0	0	0	0	1728		0	0	12	
43292	 BAT ASUS K43 K53 / 11.1V 5200mAh (56Wh) BLACK ORIG 	0	0	0	0	1190		0	0	12	
42666	 Видеорегистратор DAHUA DVR0804LE-AS	0	0	0	1	561		0	0	12	
42731	 Видеорегистратор DAHUA МРК5108	0	0	0	1	561		0	0	12	
39589	***Проекционный экран Sopar Slim 95 | 180 x180 cm | настенный без механизма возврата 2180SL	0	0	0	0	1787		0	0	12	
44576	?Ноутбук Acer ES1-532G	0	0	0	1	539		0	0	12	
30199	_HDD 250.0Gb Hitachi Deskstar 3.5 SATA II; 7200 rpm; 8Mb; II-300 HDP725025GLA380**	0	0	0	1	1604		0	0	12	
42329	_Блок питания 45W MagSafe 2 Power Adapter MD592Z/A ***	0	0	0	1	1791	536	0	0	12	
41403	_Кабель HDMI - DVI, HDMI (24+1) 1.5m ***	0	0	0	1	1805		0	0	12	
32412	_Кабель питания для БП к ноутбуку 1,2м ***	0	0	0	1	1741		0	0	12	
30224	_Наушники Sennheiser CX300 II Precision Black *	0	0	0	1	1725		0	0	12	
40820	_не_использ_Устройство Card reader  Transcend TS-RDF8K USB 3.0	0	0	0	1	513		0	0	12	
42408	_Патч кабель UTP, RJ-45; CAT.5E; 1.5m желтый ***	0	0	0	1	1741		0	0	12	
40721	10/100/1000Base-T to miniGBIC (SFP) Converter GT-805A	0	0	0	1	1756		0	0	12	
44105	10PCS Pitch 2.54mm 2x20Pin DC3 40 Pin Straight Male Shrouded PCB IDC Socket Box Header	0	0	0	1			0	0	12	
43988	16GB Kingston DataTraveler microDuo 3C USB 3.1	0	0	0	0	1607		0	0	12	
45062	16GB SODIMM DDR4 2666 MHz Hynix HMA82GS6JJR8N-VK	0	0	0	0	476		0	1	12	
45253	2x4Gb DDR3-1066 2Rx8 Kingston KTA-MB1066K2/8G	0	0	0	0	476		0	0	12	
45461	2x4Gb DDR3-1333 2Rx8 G.Skill FA-1333C9Q-16GSQ	0	0	0	0	476		0	1	12	
45310	4Gb DDR3-1066 2Rx8 Corsair CM3X8GSDKIT1066	0	0	0	0	476		0	0	12	
45303	4Gb DDR3-1066 2Rx8 Kingston M51264H70	0	0	0	0	476		0	0	12	
44994	4Gb DDR3L-1600 1Rx8 Elpida EBJ40UG8EFU0-GN-F	0	0	0	0	476		0	0	12	
45042	4GB SO-DIMM DDR3L 1600 MHz Hynix HMT451S6DFR8A-PB	0	0	0	0	476		0	0	12	
42734	4ноутбука	0	0	0	0	538	539	0	0	12	
44106	5V Active Buzzer Magnetic Type	0	0	0	1			0	0	12	
45047	77192 Зарядное устройство для Microsoft Surface RT RT2 PRO Windows 12V 2A	0	0	0	0	1760		0	0	12	
44076	830Point Solderless PCB Bread Board Test Develop DIY	0	0	0	0	1741		0	0	12	
45454	8Gb DDR3-1600 2Rx8 Kingston HyperX KHX1600C10D3B1/8G	0	0	0	0	476		0	1	12	
44860	8GB SODIMM DDR4 PC4-19200 2400Mhz Micron MTA8ATF1G64HZ-2G3B1	0	0	0	0	476		0	1	12	
44841	Acer AN515-42     NHQ3REU0098240151C3400	0	0	0	1	539		0	0	12	
45184	Acer AN515-52  NHQ3MEU00490200EAB3400	0	0	0	1	539		0	0	12	
43826	Acer E1-510	0	0	0	1	539		0	0	12	
45152	Acer E5-576G NXGSAEU0027432F6757600	0	0	0	1	539		0	0	12	
44962	Acer G3-572:
