part_number	name	warranty	instock	priceOpt
AB350M-DS3H	AM4 AMD Ryzen 7 1700 + Gigabyte GA-AB350M-DS3H V2 новая, гарантия + 2x8Gb ddr4 - 8200грн, есть 3шт	36	300	4100
AB350M-DS3H	AM4 AMD Ryzen 5 1600 + Gigabyte GA-AB350M-DS3H V2 новая, гарантия + 2x8Gb ddr4 - 7100грн, есть 2шт	36	200	3550
Z170XP-SLI	s1151 Intel Core i7-6700 + Gigabyte GA-Z170XP-SLI только плата - 7500грн	36	100	3750
Z170XP-SLI	s1151 Intel Core i5-6600k + Gigabyte GA-Z170XP-SLI + 2х4Gb - 6500грн	36	100	3250
1240V3	s1150 Intel Xeon E3-1240V3 + Lenovo M93P IS8XM (4 слота ddr3, sata3, usb3 ) новая - 3800грн, есть 3шт	36	300	1900
1220V3	s1150 Intel Xeon E3-1220V3 (Аналог i5-4570 без видео) + Lenovo M93P IS8XM (4 слота ddr3, sata3, usb3 ) новая - 2700грн, есть 2шт	36	200	1350
1245V2	s1155 Intel Xeon E3-1245V2 (Аналог i7-3770) + Lenovo M92P IS7XM Rev 1.0 (4 слота ddr3, sata3, usb3) - 3300грн, есть 2шт	36	200	1650
1240V2	s1155 Intel Xeon E3-1240V2 (Аналог i7-3770 без видео) + Lenovo M92P IS7XM Rev 1.0 (4 слота ddr3, sata3, usb3) - 3100грн, есть 6шт	36	600	1550
1225V2	s1155 Intel Xeon E3-1225V2 (Аналог i5-3470) + Asus P8B75-M (4 слота ddr3, sata3, usb3) - 2400грн	36	100	1200
DH61CR	s1155 Intel Core i5-3470s + Intel DH61CR (B3) новые - 2300грн, есть 2шт	36	200	1150
J1800I	Intel Celeron J1800 + Asus J1800I-C Mini ITX - 900грн	36	100	450
DP55WG	s1156 Intel Xeon x3460 (Аналог i7-860) + Intel DP55WG + 2x2Gb - 2500грн	36	100	1250
DH55TC	s1156 Intel Core i5-750 + Intel DH55TC + 4x2Gb - 2500грн	36	100	1250
IQ1X0MS	s1150 Lenovo P310 IQ1X0MS (4 слота ddr4, sata3, usb3) - 1600грн, есть 4шт	36	400	800
DP55WG	s1156 Intel DP55WG заглушка - 1500грн	36	100	750
DH55TC	s1156 Intel DH55TC заглушка - 1500грн	36	100	750
MIH61R	1155 Dell MIH61R понимает 2 и 3 серию процов - 850грн	36	100	425
G3250T	1150 Intel Pentium G3250T - 300грн	36	100	150
HD4000	1155 Intel Xeon E3-1225 V2 (Аналог i5-3470, видео HD4000) - 990грн	36	100	495
HD3000	1155 Intel Xeon E3-1225 (Аналог i5-2400 видео HD3000) - 850грн, есть 5шт	36	500	425
CNPS9500	Zalman CNPS9500 LED под интел - 700грн	36	100	350
GAMMAXX	Deepcool GAMMAXX 200T под интел и амд 2 трубки, новые - 350грн резерв	36	100	175
BLS16G4D240FSE	4х16Gb DDR4-2400 2Rx8 Crucial BLS16G4D240FSE - 7990грн	36	100	3995
CMK32GX4M2B3200C16	2x16Gb DDR4-3200 2Rx8 Corsair CMK32GX4M2B3200C16 White радиаторная - 3990грн	36	100	1995
HX424C15FBK4/64	2x16Gb DDR4-2400 2Rx8 Kingston HyperX Fury Black HX424C15FBK4/64 радиаторная 2 планки с кита - 3900грн	36	100	1950
CMK32GX4M2A2133C13	2x16Gb DDR4-2133 2Rx8 Corsair CMK32GX4M2A2133C13 радиаторная - 3900грн	36	100	1950
HMA82GU6CJR8N-VK	16Gb DDR4-2666 2Rx8 Hynix HMA82GU6CJR8N-VK - 2100грн	36	100	1050
M378A2K43CB1-CTD	16Gb DDR4-2666 2Rx8 Samsung M378A2K43CB1-CTD - 2100грн, есть 6шт	36	600	1050
M378A2K43DB1-CTD	16Gb DDR4-2666 2Rx8 Samsung M378A2K43DB1-CTD - 2100грн	36	100	1050
HMA82GU6AFR8N-UH	16Gb DDR4-2400 2Rx8 Hynix HMA82GU6AFR8N-UH - 2000грн	36	100	1000
M378A2K43BB1-CRC	16Gb DDR4-2400 2Rx8 Samsung M378A2K43BB1-CRC - 2000грн, есть 4шт	36	400	1000
M378A2K43CB1-CRC	16Gb DDR4-2400 2Rx8 Samsung M378A2K43CB1-CRC - 2000грн	36	100	1000
HMA82GU6MFR8N-TF	16Gb DDR4-2133 2Rx8 Hynix HMA82GU6MFR8N-TF - 2000грн, есть 6шт	36	600	1000
CMK16GX4M2D3600C18	2x8Gb DDR4-3600 1Rx8 Corsair CMK16GX4M2D3600C18 ver 4.32 радиаторная новые - 2500грн, есть 3 пары	36	300	1250
3600C19D-16GVRB	2x8Gb DDR4-3600 1Rx8 G.Skill F4-3600C19D-16GVRB радиаторная - 2400грн, есть 2 пары	36	200	1200
CMK16GX4M2B3200C16	2x8Gb DDR4-3200 1Rx8 Corsair CMK16GX4M2B3200C16 ver 4.32 радиаторная - 2400грн	36	100	1200
3200C16D-16GVGB	2x8Gb DDR4-3200 1Rx8 G.Skill F4-3200C16D-16GVGB радиаторная - 2400грн	36	100	1200
3200C16D-16GVKB	2x8Gb DDR4-3200 1Rx8 G.Skill F4-3200C16D-16GVKB радиаторная - 2400грн, есть 3 пары	36	300	1200
3200C16D-16GVRB	2x8Gb DDR4-3200 1Rx8 G.Skill F4-3200C16D-16GVRB радиаторная - 2400грн	36	100	1200
CMK16GX4M2B3000C15	2x8Gb DDR4-3000 2Rx8 Corsair CMK16GX4M2B3000C15 ver 5.20 радиаторная - 2400грн, есть 2 пары	36	200	1200
PV416G300C6K	2x8Gb DDR4-3000 2Rx8 Patriot PV416G300C6K радиаторная - 2300грн	36	100	1150
