part_number235	index	yuPriceOpt	mezhPriceOpt	paPriceOpt	riPriceOpt	chPriceOpt
DP-2200-1	0	0	100	0	0	0
DP-2201-1	1	0	200	0	0	0
PC-189	2	0	0	0	0	0
4790POGC8	3	0	0	0	0	0
MO_034012	4	0	0	0	0	0
GZA-00310	5	0	0	0	0	0
BW1414	6	0	0	0	0	0
TR-AIR-11-BK	7	0	0	0	0	0
SGP07632	8	0	0	0	0	0
VGP-CPC1/G	9	0	0	0	0	0
CC-PPVGA-5M	10	0	0	0	0	0
4790POGF7	11	0	0	0	0	0
VE042	12	0	0	0	0	0
4790POGFB	13	0	0	0	0	0
4790POGFO	14	0	0	0	0	0
4790POGFQ	15	0	0	0	0	0
4790POGG9	16	0	0	0	0	0
4790POGGB	17	0	0	0	0	0
110041	18	0	0	0	0	0
110040	19	0	0	0	0	0
SGP07629	20	0	0	0	0	0
MO_034712	21	0	0	0	0	0
SPK-A2817	22	0	0	0	0	0
4790POGH4	23	0	0	0	0	0
4790POGH5	24	0	0	0	0	0
4790POGH6	25	0	0	0	0	0
TS256MSK64V3N	26	0	0	0	0	0
4790POGH8	27	0	0	0	0	0
4790POGH9	28	0	0	0	0	0
4790POGHA	29	0	0	0	0	0
PSD5124003	30	0	0	0	0	0
ANT24-1201	31	0	0	0	0	0
CTT-460-RU	32	0	0	0	0	0
CC-DVI-15	33	0	0	0	0	0
4790POGI0	34	0	0	0	0	0
6518-50	35	0	0	0	0	0
U-350	36	0	0	0	0	0
VEN09	37	0	0	0	0	0
VE143	38	0	0	0	0	0
1182	39	0	0	0	0	0
AP17-001BLK	40	0	0	0	0	0
826736	41	0	0	0	0	0
AP15-003BLK	42	0	0	0	0	0
IPAD2-SEC-LOCK-01	43	0	0	0	0	0
4790POGKI	44	0	0	0	0	0
GC17133	45	0	0	0	0	0
1110GRI47	46	0	0	0	0	0
1110FLA07	47	0	0	0	0	0
1110FOC47	48	0	0	0	0	0
AP18-001YEL	49	0	0	0	0	0
MB130313/04	50	0	0	0	0	0
ML25568	51	0	0	0	0	0
ML25562	52	0	0	0	0	0
ML25565	53	0	0	0	0	0
TS8GJF370	54	0	0	0	0	0
21103T9C	55	0	0	0	0	0
21103T8C	56	0	0	0	0	0
21103T16C	57	0	0	0	0	0
21103T7C	58	0	0	0	0	0
4790POGLW	59	0	0	0	0	0
1110FLA08	60	0	0	0	0	0
VGPCKC4/PI	61	0	0	0	0	0
SW1721	62	0	0	0	0	0
AP15-007WHT	63	0	0	0	0	0
MD592Z/A	64	0	0	0	0	0
1110ANG2	65	0	0	0	0	0
AP18-001PNK	66	0	0	0	0	0
1110ANG1	67	0	0	0	0	0
1150NAF6	68	0	0	0	0	0
F8N675cwC00	69	0	0	0	0	0
G1321	70	0	0	0	0	0
4790POGNZ	71	0	0	0	0	0
INC-IM231	72	0	0	0	0	0
INC-IM235	73	0	0	0	0	0
INC-IM233	74	0	0	0	0	0
DA-70216	75	0	0	0	0	0
M99NWS1	76	0	0	0	0	0
OC533BU	77	0	0	0	0	0
KVR1333D3N9/8G	78	0	0	0	0	0
SGP09602	79	0	0	0	0	0
VNCI215	80	0	0	0	0	0
VD091	81	0	0	0	0	0
OC104TE	82	0	0	0	0	0
PAUCH-FP-IP	83	0	0	0	0	0
4790POGPZ	84	0	0	0	0	0
6241	85	0	0	0	0	0
1150	86	0	0	0	0	0
TR-AIR-13-WH	87	0	0	0	0	0
360903	88	0	0	0	0	0
CPSGP3100-1021	89	0	0	0	0	0
OUVMF5	90	0	0	0	0	0
CT51264BF160B	91	0	0	470	400	0
875419002637	92	0	0	0	0	0
4790POGRG	93	0	0	0	0	0
4790POGRJ	94	0	0	0	0	0
TED22G800C6-S01	95	0	0	0	0	0
CS-200	96	0	0	0	0	0
BW1450	97	0	0	0	0	0
TABU7	98	0	0	0	0	0
19154	99	0	0	0	0	0
4790POGT8	100	0	0	0	0	0
4790POGTR	101	0	0	0	0	0
4790POGTT	102	0	0	0	0	0
99MO054905	103	0	0	0	0	0
OC107SY	104	0	0	0	0	0
FSG1073PI	105	0	0	0	0	0
1120	106	0	0	0	0	0
FSG1103PI	107	0	0	0	0	0
THZ202EU	108	0	0	0	0	0
4790POGVN	109	0	0	0	0	0
4790POGVO	110	0	0	0	0	0
4790POGVY	111	0	0	0	0	0
4790POGVZ	112	0	0	0	0	0
26016	113	0	0	0	0	0
PEBA108	114	0	0	0	0	0
4790POGWE	115	0	0	0	0	0
RH-Z1185B	116	0	0	0	0	0
CC-PPVGAX	117	0	0	0	0	0
PEAX128	118	0	0	0	0	0
ME102A	119	0	0	0	0	0
SGP09633	120	0	0	0	0	0
4790POGXN	121	0	0	0	0	0
4790POGXO	122	0	0	0	0	0
FSI-1095	123	0	0	0	0	0
XT216	124	0	0	0	0	0
H1D25AA	125	0	0	0	0	0
4790POGZY	126	0	0	0	0	0
KVR1333D3S9/8G	127	0	0	1100	0	0
4790POH0I	128	0	0	0	0	0
CEB-7035S	129	0	0	0	0	0
M113UWS1	130	0	0	0	0	0
TS32GJF380S	131	0	0	0	0	0
TS8GJF380S	132	0	0	0	0	0
DK-1511-050/R	133	0	0	0	0	0
MD819ZM/A	134	0	0	0	0	0
10701	135	0	0	0	0	0
PEBC86	136	0	0	0	0	0
PSDC72	137	0	0	0	0	0
PEBC100	138	0	0	0	0	0
PSDC120	139	0	0	0	0	0
MC.JBG11.002	140	0	0	0	0	0
JZ.J7400.002	141	0	0	0	0	0
PEBC120	142	0	0	0	0	0
PEAX106	143	0	0	0	0	0
3222HT	144	0	0	0	0	0
PEAC100	145	0	0	0	0	0
10430112	146	0	0	0	0	0
PEBX128	147	0	0	0	0	0
PEBA135	148	0	0	0	0	0
PEAA108	149	0	0	0	0	0
10430113	150	0	0	0	0	0
PEAC120	151	0	0	0	0	0
V12H002S21	152	0	0	0	0	0
PEBC150	153	0	0	0	0	0
V12H002S26	154	0	0	0	0	0
PEAA135	155	0	0	0	0	0
PEAC150	156	0	0	0	0	0
PSAX139	157	0	0	0	0	0
10200009	158	0	0	0	0	0
PEAA162	159	0	0	0	0	0
10200236	160	0	0	0	0	0
10200208	161	0	0	0	0	0
PEAC180	162	0	0	0	0	0
10200054	163	0	0	0	0	0
PSTA108	164	0	0	0	0	0
PEAC200	165	0	0	0	0	0
10600124	166	0	0	0	0	0
10300074	167	0	0	0	0	0
10102011	168	0	0	0	0	0
10100860	169	0	0	0	0	0
10100087	170	0	0	0	0	0
10101145	171	0	0	0	0	0
10102475	172	0	0	0	0	0
10102104	173	0	0	0	0	0
10100801	174	0	0	0	0	0
10630233	175	0	0	0	0	0
10102106	176	0	0	0	0	0
10630235	177	0	0	0	0	0
10130765	178	0	0	0	0	0
10100338	179	0	0	0	0	0
2150SL	180	0	0	0	0	0
1EVS03	181	0	0	0	0	0
PSDB112	182	0	0	0	0	0
1180	183	0	0	0	0	0
PRB-1	184	0	0	0	0	0
PRB-2	185	0	0	0	0	0
PRB-12	186	0	0	0	0	0
PRB-14	187	0	0	0	0	0
RSMAUW	188	0	0	0	0	0
PRB-2W SILVER	189	0	0	0	0	0
1MVEM2	190	0	0	0	0	0
CL F700 A/S	191	0	0	0	0	0
PRB-2S	192	0	0	0	0	0
3UB 2A14 (White)	193	0	0	0	0	0
3UB 2A14 (Blue)	194	0	0	0	0	0
10200064	195	0	0	0	0	0
40760	196	0	0	0	0	0
R332G1339S1S-UGOBULK	197	0	0	0	0	0
42690	198	0	0	0	0	0
SRM-1103	199	0	0	0	0	0
SGM-1103	200	0	0	0	0	0
SRM-1101	201	0	0	0	0	0
M71XWS1	202	0	0	0	0	0
T85UWS1	203	0	0	0	0	0
SGM-1104	204	0	0	0	0	0
SGM-4303	205	0	0	0	0	0
SRM-1102	206	0	0	0	0	0
SGM-4304	207	0	0	0	0	0
M92UWH	208	0	0	0	0	0
T71NWS1	209	0	0	0	0	0
M113NWS1	210	0	0	0	0	0
SGM-1106	211	0	0	0	0	0
1EVS04	212	0	0	0	0	0
M84NWH	213	0	0	0	0	0
M84NWV	214	0	0	0	0	0
T84UWV1	215	0	0	0	0	0
T85NWS1	216	0	0	0	0	0
T99NWS1	217	0	0	0	0	0
M119XWS1	218	0	0	0	0	0
PSAA90	219	0	0	0	0	0
SGM-4305	220	0	0	0	0	0
M100UWH	221	0	0	0	0	0
M94NWX	222	0	0	0	0	0
M100XWH	223	0	0	0	0	0
PSAC100	224	0	0	0	0	0
T113NWS1	225	0	0	0	0	0
PSAA108	226	0	0	0	0	0
T113UWS1	227	0	0	0	0	0
T92UWH	228	0	0	0	0	0
T119NWS1	229	0	0	0	0	0
M120UWH2	230	0	0	0	0	0
PSBB167	231	0	0	0	0	0
M120XWV2	232	0	0	0	0	0
PSAC120	233	0	0	0	0	0
M100HSR-PRO	234	0	0	0	0	0
M136XWS1	235	0	0	0	0	0
PSBC150	236	0	0	0	0	0
10200063	237	0	0	0	0	0
M120XWH2	238	0	0	0	0	0
T136NWS1	239	0	0	0	0	0
1EVS57	240	0	0	0	0	0
T100UWH	241	0	0	0	0	0
T136UWS1	242	0	0	0	0	0
M128NWX	243	0	0	0	0	0
Electric120V	244	0	0	0	0	0
M135UWH2	245	0	0	0	0	0
M135XWH2	246	0	0	0	0	0
T120UWH	247	0	0	0	0	0
M120HSR-PRO	248	0	0	0	0	0
PSAC150	249	0	0	0	0	0
M135XWV2	250	0	0	0	0	0
PSAA135	251	0	0	0	0	0
M120VSR-PRO	252	0	0	0	0	0
M150XWV2	253	0	0	0	0	0
M150XWH2	254	0	0	0	0	0
ELECTRIC100XH	255	0	0	0	0	0
1EVS58	256	0	0	0	0	0
ELECTRIC100V	257	0	0	0	0	0
M139NWX	258	0	0	0	0	0
10430110	259	0	0	0	0	0
VMAX100XWV2	260	0	0	0	0	0
VMAX84UWH2	261	0	0	0	0	0
VMAX100XWH2	262	0	0	0	0	0
