part_number	name	priceOpt	warranty	instock
RT7601	------------------------------- Чип RTL7601/MTK7601	0	1	1
CRS212-1G-10S-1S+IN	10-портовый управляемый Cloud коммутатор CRS212-1G-10S-1S+IN	199.79	12	1
DS-KB6003-WIP	2МП дверной видеозвонок DS-KB6003-WIP	106.98	12	1
UA-MGSE-F3MG	3-х вентиляторний блок в кришу для шаф MGSE 610 шир., сірий	2250.6	1	1
UA-MGSE-F3MB	3-х вентиляторний блок в кришу для шаф MGSE 610 шир., чорний	2250.6	1	1
NVR301-04LB-W	4-канальный WiFi  сетевой регистратор Uniview NVR301-04LB-W 	35	12	1
IPC-9800ADH Plus	7-дюймовый тестер IP-камер и AHD, CVI, TVI, CVBS с поддержкой WIFI и  Micro SD карты IPC-9800ADH Plus	281.75	12	1
SDI/TVI/AHD/CVI/Multimete	8-дюймовый тестер IP-камеры безопасности CCTV, тестер монитор с SDI/TVI/AHD/CVI/Multimeter/TDR/OPM/VFL/POE/4K/HDMI In&Out	765	1	1
AIR PILLOW	AIR PILLOW надувной на шею	3.5	0	1
IPC-5000 Plus	CCTV Тестер IPC-5000 Plus 	29	6	1
TS 35/HLD	DIN рейка для крепления термостата Klinkmann	6.4	1	1
6957531054979	Hoco Чехол под карбон силиконовый Delicate shadow series protective case for Galaxy A5 (2017) black	0.5	0	1
6957531054955	Hoco Чехол под карбон силиконовый Delicate shadow series protective case for Galaxy A7 (2017) black	0.5	0	1
6957531056904	Hoco Чехол под карбон силиконовый Delicate shadow series protective case for Galaxy S8 black	0.5	0	1
6957531054917	Hoco Чехол под карбон силиконовый Delicate shadow series protective case for Galaxy S8 Plus black	0.5	0	1
6957531054993	Hoco Чехол под карбон силиконовый Delicate shadow series protective case for J5 Prime black	0.5	0	1
6957531055518	Hoco Чехол под карбон силиконовый Delicate shadow series protective case for J7 Prime black	0.5	0	1
6957531057406	Hoco чехол силиконовый ультратонкий Fascination series protective case for Galaxy Note5 black	0.5	0	1
6957531057963	Hoco чехол силиконовый ультратонкий Fascination series protective case for Galaxy S6 black	0.5	0	1
6957531057338	Hoco чехол силиконовый ультратонкий Fascination series protective case for Galaxy S6 Edge black	0.5	0	1
6957531057352	Hoco чехол силиконовый ультратонкий Fascination series protective case for Galaxy S7 black	0.5	0	1
6957531057369	Hoco чехол силиконовый ультратонкий Fascination series protective case for Galaxy S7 Edge black	0.5	0	1
6957531057376	Hoco чехол силиконовый ультратонкий Fascination series protective case for Galaxy S8 black	0.5	0	1
6957531057383	Hoco чехол силиконовый ультратонкий Fascination series protective case for Galaxy S8 Plus black	0.5	0	1
6957531057345	Hoco чехол силиконовый ультратонкий Fascination series protective case for S6 Edge+ black	0.5	0	1
IPC322SR3-VSF28W-D	IP видеокамера купольная Uniview с WiFi IPC322SR3-VSF28W-D	55	12	1
UA760/ID	Биометрический терминал учета рабочего времени ZKTECO UA760/ID	135.7	12	1
BBGP-123DIN	Блок бесперебойного питания 12В 3Ач под акб 7Ач на DIN-рейку BBGP-123DIN	16	12	1
BBGP-125DIN	Блок бесперебойного питания 12В 5Ач под акб 7Ач на DIN-рейку BBGP-125DIN	22	12	1
UA-MGSESM42G	Боковий організатор кабеля з кришкою до шаф MGSE 42U, сірий	2402.4	1	1
UA-MGSESM42B	Боковий організатор кабеля з кришкою до шаф MGSE 42U, чорний	2402.4	1	1
UA-MGSESM45B	Боковий організатор кабеля з кришкою до шаф MGSE 45U, чорний	2488.2	1	1
DP200A2123XBT	Вентилятор до шаф на підшипниках, 120x120x38, Sunnon	426.63	1	1
UA-MGSE24VCMB	Вертикальний кабельний організатор 24U до шаф MGSE, (ширина 120 мм)	315	1	1
UA-MGSE28VCMB	Вертикальний кабельний організатор 28U до шаф MGSE, (ширина 120 мм)	210.99	1	1
UA-MGSE33VCMB	Вертикальний кабельний організатор 33U до шаф MGSE, (ширина 120 мм)	421	1	1
UA-MGSE42VCMB	Вертикальний кабельний організатор 42U до шаф MGSE, (ширина 120 мм)	492.34	1	1
2,43 МП 1080P	Видеокамера безкорпусная   1080P/960P/720p, AHD/HDCVI/HDTVI/Аналог , f=3.6 мм, 	60	12	1
EC-UPS	Внешнее зарядное устройство 24A, 192-240В для ИБП NetPRO 11 / RM /NetPRO 31 (10-20 kVA)	601	12	1
BIT 360	Вращающаяся отвертка BIT 360	2.8	0	1
FR1500-WP/MF SilkID	Врезной биометрический влагозащищенный считыватель ZKTeco FR1500-WP/MF SilkID 	86.7	12	1
UA-MGSWA12MDB	Двері суцільнометалеві 12U до шаф MGSWA, чорна	959.4	1	1
UA-MGSWA15MDG	Двері суцільнометалеві 15U до шаф MGSWA, сіра	1131	1	1
UA-MGSWA15MDB	Двері суцільнометалеві 15U до шаф MGSWA, чорна	1131	1	1
UA-MGSWA18MDB	Двері суцільнометалеві 18U до шаф MGSWA, чорна	1240.2	1	1
UA-MGSWA21MDB	Двері суцільнометалеві 21U до шаф MGSWA, чорна	1443	1	1
UA-MGSWA6MDB	Двері суцільнометалеві 6U до шаф MGSWA, чорна	694.2	1	1
UA-MGSWA9MDB	Двері суцільнометалеві 9U до шаф MGSWA, чорна	842.4	1	1
103-16	Замок бокової панелі шафи	45	1	1
785	Игрушка из хлопковой веревки с узлами для собак	2	0	1
M050040-2A1	Импульсный адаптер питания 5В 0,4А (2Вт) M050040-2A1 штекер 4.0/1.35 длина 1м Q200 + переходник	3	12	1
HT-314B	Инструмент HT-314B для заделки витой пары в кроссы, патч-панели, розетки, модули с контактами типа: 66/88/110 IDC, SLA	2.6	2	1
HT-324	Инструмент HT-324 для заделки витой пары в кроссы, патч-панели, розетки, модули с контактами типа: 88/110 IDC, SLA	2.6	2	1
HT-914B	Инструмент HT-914B  профессиональный для заделки кабеля в модули, патч панели, розетки и боксы с ножами типа 110 & BK, 	9.3	2	1
HT-H518A	Инструмент HT-H518A опрессовочный для компрессионных F разъемов на кабель RG59, RG6	5.8	2	1
EZ-RJ45	Инструмент Merlion EZ-RJ45 с храповиком для обжимки RJ-45 (8P8C) и RJ-12/11 (6P6C), 4P/6P/8P	14	2	1
HT-200R	Инструмент Merlion HT-200R с храповиком для обжимки RJ-45 (8P8C) и RJ-12/11 (6P6C), 4P/6P/8P	7.2	2	1
HT-5684R	Инструмент Merlion HT-568R с храповиком для обжимки RJ-45 (8P8C) и RJ-12/11 (6P6C), 4P/6P/8P	4.5	2	1
